"Rank","Expected Points Added (EPA)","Offense","Defense","Week","Date","Quarter","Time","Down","Distance","Description","Yard Line (Distance from Off. EZ)","Box Scores"
"","-1.62","KC","GB","9","2021-11-07","2","1:54","4","1","(1:54) (Shotgun) PENALTY on KC-31-Da.Williams, False Start, 5 yards, enforced at GB 1 - No Play.","1.00","Box Score"
"","-1.62","NYJ","JAX","16","2021-12-26","4","1:54","3","1","(1:54) 69-C.McDermott reported in as eligible.  PENALTY on NYJ-71-I.Williams, False Start, 5 yards, enforced at JAX 1 - No Play.","1.00","Box Score"
"","-1.62","MIA","BAL","10","2021-11-11","4","13:16","3","1","(13:16) (Shotgun) PENALTY on MIA-73-A.Jackson, False Start, 5 yards, enforced at BAL 1 - No Play.","1.00","Box Score"
"","-1.63","TB","ATL","2","2021-09-19","1","8:09","2","10","(8:09) 12-T.Brady pass short right to 7-L.Fournette to ATL 8 for 5 yards (54-F.Oluokun; 91-J.Tuioti-Mariner). PENALTY on TB-66-R.Jensen, Unnecessary Roughness, 15 yards, enforced at ATL 8.","13.00","Box Score"
"","-1.66","DEN","LAC","17","2022-01-02","4","15:00","4","1","(15:00) 71-A.Schlottmann reported in as eligible.  25-M.Gordon left guard for 1 yard, TOUCHDOWN NULLIFIED by Penalty. PENALTY on DEN-71-A.Schlottmann, Illegal Formation, 4 yards, enforced at LAC 1 - No Play.","1.00","Box Score"
"","-1.80","ATL","BUF","17","2022-01-02","4","6:14","2","7","(6:14) (Shotgun) 2-M.Ryan scrambles right tackle for 7 yards, TOUCHDOWN. PENALTY on ATL-2-M.Ryan, Taunting, 15 yards, enforced between downs. The Replay Official reviewed the runner broke the plane ruling, and the play was REVERSED. (Shotgun) 2-M.Ryan scrambles right tackle to BUF 1 for 6 yards (21-J.Poyer). PENALTY on ATL-2-M.Ryan, Taunting, 15 yards, enforced at BUF 1.","7.00","Box Score"
"","-1.83","LV","KC","14","2021-12-12","2","0:22","2","10","(:22) (Shotgun) 4-D.Carr pass incomplete deep right to 7-Z.Jones [51-M.Danna]. PENALTY on LV-76-J.Simpson, Unsportsmanlike Conduct, 15 yards, enforced at KC 22. Penalty on LV-7-Z.Jones, Offensive Pass Interference, declined.","22.00","Box Score"
"","-1.87","LA","TEN","9","2021-11-07","3","8:25","3","4","(8:25) (Shotgun) 9-M.Stafford pass short left to 89-T.Higbee for 4 yards, TOUCHDOWN [96-D.Autry]. The Replay Official reviewed the runner was inbounds ruling, and the play was REVERSED. (Shotgun) 9-M.Stafford pass incomplete short left to 89-T.Higbee [96-D.Autry]. PENALTY on LA-89-T.Higbee, Illegal Touch Pass, 0 yards, enforced at TEN 4.","4.00","Box Score"
"","-1.90","IND","SEA","1","2021-09-12","4","2:16","2","1","(2:16) (Shotgun) 28-J.Taylor left end for 1 yard, TOUCHDOWN NULLIFIED by Penalty. PENALTY on IND-14-Z.Pascal, Offensive Holding, 10 yards, enforced at SEA 1 - No Play.","1.00","Box Score"
"","-1.90","CAR","NE","9","2021-11-07","2","5:16","1","10","(5:16) 22-C.McCaffrey right end to NE 16 for 2 yards (9-M.Judon). PENALTY on CAR-80-I.Thomas, Unsportsmanlike Conduct, 15 yards, enforced at NE 16.","18.00","Box Score"
"","-1.92","NYJ","MIA","11","2021-11-21","3","5:39","2","5","(5:39) (Shotgun) 19-J.Flacco pass incomplete short right. PENALTY on NYJ-19-J.Flacco, Intentional Grounding, 10 yards, enforced at MIA 12.","12.00","Box Score"
"","-1.96","DAL","NO","13","2021-12-02","2","0:16","1","7","(:16) (Shotgun) 4-D.Prescott pass incomplete short left to 88-C.Lamb. PENALTY on DAL-77-T.Smith, Offensive Holding, 10 yards, enforced at NO 7 - No Play.","7.00","Box Score"
"","-2.05","BUF","PIT","1","2021-09-12","4","0:54","1","10","(:54) (Shotgun) 17-J.Allen pass incomplete short middle to 1-E.Sanders (21-T.Norwood). PENALTY on BUF-75-Da.Williams, Offensive Holding, 10 yards, enforced at PIT 14 - No Play.","14.00","Box Score"
"","-2.19","MIN","LAC","10","2021-11-14","2","6:51","3","1","(6:51) 64-B.Brandel reported in as eligible.  8-K.Cousins pass short left to 30-C.Ham for 1 yard, TOUCHDOWN NULLIFIED by Penalty. PENALTY on MIN-71-C.Darrisaw, Offensive Holding, 10 yards, enforced at LAC 1 - No Play.","1.00","Box Score"
"","-2.24","TEN","HOU","11","2021-11-21","2","0:09","1","5","(:09) (Shotgun) 17-R.Tannehill pass incomplete short right. PENALTY on TEN-17-R.Tannehill, Intentional Grounding, 10 yards, enforced at HOU 24.","24.00","Box Score"
"","-2.36","CHI","PIT","9","2021-11-08","3","9:19","2","1","(9:19) 64-A.Bars reported in as eligible.  1-J.Fields pass short right to 80-J.Graham for 1 yard, TOUCHDOWN NULLIFIED by Penalty. PENALTY on CHI-68-J.Daniels, Low Block, 15 yards, enforced at PIT 1 - No Play.","1.00","Box Score"
"","-2.85","CLE","CIN","18","2022-01-09","2","0:09","3","10","(:09) (Shotgun) 5-C.Keenum pass short middle intended for 88-H.Bryant INTERCEPTED by 21-M.Hilton (51-M.Bailey) at CIN -3. 21-M.Hilton to CIN 32 for 35 yards (85-D.Njoku). PENALTY on CLE-77-W.Teller, Unnecessary Roughness, 15 yards, enforced between downs.","11.00","Box Score"
"","-5.39","DET","CHI","4","2021-10-03","2","3:09","3","3","(3:09) (Shotgun) 16-J.Goff sacked at CHI 12 for -9 yards (94-R.Quinn). FUMBLES (94-R.Quinn), RECOVERED by CHI-52-K.Mack at CHI 20. 52-K.Mack to CHI 32 for 12 yards. Lateral to 4-E.Jackson to CHI 43 for 11 yards (14-A.St. Brown). The Replay Official reviewed the backward pass ruling, and the play was REVERSED. (Shotgun) 16-J.Goff sacked at CHI 12 for -9 yards (94-R.Quinn). FUMBLES (94-R.Quinn), touched at CHI 17, RECOVERED by CHI-52-K.Mack at CHI 20. 52-K.Mack to CHI 43 for 23 yards (14-A.St. Brown). PENALTY on CHI-52-K.Mack, Illegal Forward Pass, 5 yards, enforced at CHI 28.","3.00","Box Score"
"","-6.25","BAL","CLE","14","2021-12-12","3","12:13","2","6","(12:13) (Shotgun) 2-T.Huntley sacked at CLE 13 for -1 yards (55-T.McKinley). FUMBLES (55-T.McKinley) [55-T.McKinley], RECOVERED by CLE-57-I.Odenigbo at CLE 13. 57-I.Odenigbo to CLE 13 for no gain (84-J.Oliver). PENALTY on BAL-33-D.Freeman, Unnecessary Roughness, 15 yards, enforced at CLE 13.","12.00","Box Score"
"","-6.71","KC","LAC","3","2021-09-26","1","2:58","2","11","(2:58) (Shotgun) 15-P.Mahomes pass short middle to 10-T.Hill to LAC 14 for 8 yards (20-T.Campbell). FUMBLES (20-T.Campbell), RECOVERED by LAC-43-M.Davis at LAC 14. 43-M.Davis to LAC 34 for 20 yards (65-T.Smith). PENALTY on KC-25-C.Edwards-Helaire, Low Block, 15 yards, enforced at LAC 34.","22.00","Box Score"
"","-6.90","BAL","IND","5","2021-10-11","3","6:49","1","1","(6:49) (Shotgun) 8-L.Jackson right end to IND 2 for -1 yards (32-J.Blackmon). FUMBLES (32-J.Blackmon), RECOVERED by IND-53-D.Leonard at IND 3. 53-D.Leonard to IND 25 for 22 yards. Lateral to 34-I.Rodgers for 75 yards, TOUCHDOWN. The Replay Official reviewed the backward pass ruling, and the play was REVERSED. (Shotgun) 8-L.Jackson right end to IND 2 for -1 yards (32-J.Blackmon). FUMBLES (32-J.Blackmon), RECOVERED by IND-53-D.Leonard at IND 3. 53-D.Leonard to IND 25 for 22 yards. Lateral to 34-I.Rodgers for 75 yards, TOUCHDOWN NULLIFIED by Penalty. PENALTY on IND-53-D.Leonard, Illegal Forward Pass, 5 yards, enforced at IND 24.","1.00","Box Score"
