"Rank","Week","Offense","Defense","Week","Date","Quarter","Time","Down","Distance","Description","Box Scores"
"","8.00","ATL","TEN","8","2023-10-29","4","3:54","1","10","(3:54) (Shotgun) 4-T.Heinicke sacked at TEN 25 for -8 yards (58-H.Landry). PENALTY on TEN-58-H.Landry, Roughing the Passer, 9 yards, enforced at TEN 17 - No Play.","Box Score"
"","8.00","NE","MIA","8","2023-10-29","4","2:00","4","14","(2:00) (Shotgun) 10-M.Jones pass incomplete deep middle to 81-D.Douglas (29-B.Jones) [92-Z.Sieler]. MIA-29-B.Jones was injured during the play. His return is Questionable.  PENALTY on NE-7-J.Smith-Schuster, Unsportsmanlike Conduct, 10 yards, enforced at NE 21.","Box Score"
"","8.00","TEN","ATL","8","2023-10-29","4","8:06","2","6","(8:06) (Shotgun) 22-D.Henry right tackle to ATL 37 for 5 yards (96-Z.Harrison; 53-N.Landman). PENALTY on ATL-90-D.Onyemata, Defensive Holding, 5 yards, enforced at ATL 37.","Box Score"
"","8.00","TEN","ATL","8","2023-10-29","3","7:32","4","3","(7:32) (Shotgun) 8-W.Levis pass short right to 16-T.Burks ran ob at ATL 40 for 2 yards. Penalty on TEN-10-D.Hopkins, Offensive Pass Interference, declined. The Replay Official reviewed the short of the line to gain ruling, and the play was REVERSED. (Shotgun) 8-W.Levis pass short right to 16-T.Burks ran ob at ATL 39 for 3 yards. PENALTY on TEN-10-D.Hopkins, Offensive Pass Interference, 9 yards, enforced at ATL 42 - No Play.","Box Score"
"","8.00","ATL","TEN","8","2023-10-29","2","4:51","1","10","(4:51) (Shotgun) PENALTY on ATL-63-C.Lindstrom, False Start, 5 yards, enforced at ATL 36 - No Play.","Box Score"
"","8.00","TB","BUF","8","2023-10-26","4","0:04","2","2","(:04) (Shotgun) PENALTY on BUF-40-V.Miller, Defensive Offside, 5 yards, enforced at TB 40 - No Play.","Box Score"
"","8.00","DET","LV","8","2023-10-30","3","3:27","2","4","(3:27) 16-J.Goff pass incomplete deep left to 8-J.Reynolds [91-B.Nichols]. DET-74-K.Awosika was injured during the play. His return is Questionable.  PENALTY on LV-21-A.Robertson, Defensive Pass Interference, 18 yards, enforced at LV 45 - No Play.","Box Score"
"","8.00","LV","DET","8","2023-10-30","2","7:01","1","10","(7:01) 8-J.Jacobs left end to LV 46 for 4 yards (97-A.Hutchinson). PENALTY on DET-23-J.Jacobs, Low Block, 15 yards, enforced at LV 46.","Box Score"
"","8.00","DET","LV","8","2023-10-30","2","14:27","2","6","(14:27) 26-J.Gibbs left end to LV 6 for no gain (1-M.Epps, 39-N.Hobbs). PENALTY on DET-68-T.Decker, Offensive Holding, 10 yards, enforced at LV 6 - No Play.","Box Score"
"","8.00","WAS","PHI","8","2023-10-29","4","8:10","2","15","(8:10) (Shotgun) 14-S.Howell pass short left intended for 17-T.McLaurin INTERCEPTED by 32-R.Blankenship at WAS 32. 32-R.Blankenship to WAS 15 for 17 yards (69-T.Larsen; 24-A.Gibson). PENALTY on WAS-87-J.Bates, Unnecessary Roughness, 8 yards, enforced at WAS 15.","Box Score"
