"Rank","Expected Points Added (EPA)","Offense","Defense","Week","Date","Quarter","Time","Down","Distance","Description","Box Scores"
"","-1.15","GB","CHI","2","2022-09-18","2","7:39","1","10","(7:39) 28-A.Dillon left guard to CHI 15 for 9 yards (22-K.Vildor). PENALTY on GB-70-R.Newman, Offensive Holding, 10 yards, enforced at CHI 24 - No Play.","Box Score"
"","-1.17","ARI","CAR","4","2022-10-02","3","12:50","1","10","(12:50) (Shotgun) 6-J.Conner left end to ARI 24 for 13 yards (38-M.Hartsfield). PENALTY on ARI-61-R.Hudson, Offensive Holding, 5 yards, enforced at ARI 11 - No Play.","Box Score"
"","-1.17","KC","SF","7","2022-10-23","3","4:35","1","10","(4:35) 15-P.Mahomes pass incomplete deep right to 84-Ju.Watson. PENALTY on KC-77-A.Wylie, Offensive Holding, 10 yards, enforced at SF 28 - No Play.","Box Score"
"","-1.18","SF","KC","7","2022-10-23","3","3:31","1","10","(3:31) 10-J.Garoppolo pass deep right to 11-B.Aiyuk ran ob at SF 44 for 19 yards. PENALTY on SF-69-M.McGlinchey, Offensive Holding, 10 yards, enforced at SF 25 - No Play.","Box Score"
"","-1.18","GB","NE","4","2022-10-02","3","9:52","2","9","(9:52) (Shotgun) 33-A.Jones left end pushed ob at NE 6 for 4 yards (91-D.Wise). PENALTY on GB-69-D.Bakhtiari, Offensive Holding, 10 yards, enforced at NE 10 - No Play.","Box Score"
"","-1.18","CHI","ATL","11","2022-11-20","4","12:29","1","10","(12:29) 32-D.Montgomery left tackle to ATL 14 for 4 yards (34-D.Hall, 32-J.Hawkins). PENALTY on CHI-13-B.Pringle, Offensive Holding, 10 yards, enforced at ATL 18 - No Play.","Box Score"
"","-1.19","GB","MIN","17","2023-01-01","2","3:52","1","10","(3:52) 28-A.Dillon right end to MIN 18 for 2 yards (99-D.Hunter). PENALTY on GB-76-J.Runyan, Offensive Holding, 10 yards, enforced at MIN 20 - No Play.","Box Score"
"","-1.19","LV","IND","10","2022-11-13","3","4:21","1","10","(4:21) 77-T.Munford reported in as eligible.  10-M.Hollins left end to IND 17 for 8 yards (44-Z.Franklin). PENALTY on LV-74-K.Miller, Tripping, 10 yards, enforced at IND 25.","Box Score"
"","-1.20","KC","TEN","9","2022-11-06","2","15:00","3","1","(15:00) PENALTY on KC-62-J.Thuney, False Start, 4 yards, enforced at TEN 3 - No Play.","Box Score"
"","-1.21","DEN","KC","14","2022-12-11","4","14:10","1","10","(14:10) (Shotgun) 3-R.Wilson pass short middle to 28-L.Murray to KC 6 for 9 yards (50-W.Gay). PENALTY on DEN-52-N.Muti, Offensive Holding, 10 yards, enforced at KC 15 - No Play.","Box Score"
"","-1.22","LV","NE","15","2022-12-18","2","5:51","1","10","(5:51) 77-T.Munford reported in as eligible.  35-Z.White left tackle to NE 11 for 4 yards (48-J.Tavai; 8-J.Bentley). LV-66-D.Parham was injured during the play. His return is Questionable.  PENALTY on LV-65-H.Grasu, Offensive Holding, 10 yards, enforced at NE 15 - No Play.","Box Score"
"","-1.23","DET","SEA","4","2022-10-02","3","0:33","1","10","(:33) (Shotgun) 30-Ja.Williams up the middle to DET 28 for 3 yards (8-C.Bryant). PENALTY on DET-70-D.Skipper, Offensive Holding, 10 yards, enforced at DET 25 - No Play.","Box Score"
"","-1.24","BUF","NE","18","2023-01-08","4","10:13","2","8","(10:13) (Shotgun) 17-J.Allen pass short right to 88-D.Knox to NE 40 for 7 yards (8-J.Bentley). PENALTY on BUF-28-J.Cook, Chop Block, 15 yards, enforced at NE 47 - No Play.","Box Score"
"","-1.24","LAC","ATL","9","2022-11-06","2","9:15","1","10","(9:15) 30-A.Ekeler right tackle to ATL 39 for -3 yards (26-I.Oliver). PENALTY on LAC-79-T.Pipkins, Face Mask, 15 yards, enforced at ATL 36 - No Play.","Box Score"
"","-1.27","NYG","IND","17","2023-01-01","2","11:52","2","7","(11:52) 26-S.Barkley right end pushed ob at IND 4 for 3 yards (44-Z.Franklin). PENALTY on NYG-65-N.Gates, Tripping, 10 yards, enforced at IND 7 - No Play.","Box Score"
"","-1.28","NYG","BAL","6","2022-10-16","2","7:59","3","4","(7:59) (Shotgun) 8-D.Jones pass short right to 80-R.James to BAL 44 for 3 yards (14-K.Hamilton). PENALTY on NYG-86-D.Slayton, Offensive Pass Interference, 10 yards, enforced at BAL 47 - No Play.","Box Score"
"","-1.29","CLE","MIA","10","2022-11-13","3","0:06","2","3","(:06) (No Huddle) 24-N.Chubb left tackle to CLE 48 for 17 yards (32-V.McKinley). PENALTY on CLE-72-H.Froholdt, Offensive Holding, 10 yards, enforced at CLE 33.","Box Score"
"","-1.30","LA","NO","11","2022-11-20","2","0:36","2","2","(:36) (No Huddle, Shotgun) 9-M.Stafford pass short middle to 19-B.Powell to NO 9 for 5 yards (56-D.Davis). PENALTY on LA-71-B.Evans, Offensive Holding, 10 yards, enforced at NO 14 - No Play.","Box Score"
"","-1.32","IND","TEN","4","2022-10-02","2","3:19","1","5","(3:19) (Shotgun) Direct snap to 28-J.Taylor.  28-J.Taylor right tackle to TEN 4 for 1 yard (52-J.Schobert). PENALTY on IND-69-M.Pryor, Offensive Holding, 10 yards, enforced at TEN 5 - No Play.","Box Score"
"","-1.32","KC","LAC","11","2022-11-20","1","2:35","1","10","(2:35) 10-I.Pacheco left end to KC 35 for 10 yards (49-D.Tranquill). PENALTY on KC-19-K.Toney, Illegal Crackback, 14 yards, enforced at KC 28.","Box Score"
"","-1.34","IND","JAX","6","2022-10-16","2","3:46","1","8","(3:46) (Shotgun) 2-M.Ryan pass incomplete short middle to 35-D.Jackson (96-A.Gotsis) [95-R.Robertson-Harris]. PENALTY on IND-73-D.Kelly, Offensive Holding, 10 yards, enforced at JAX 8 - No Play.","Box Score"
"","-1.34","CIN","NYJ","3","2022-09-25","1","10:35","1","4","(10:35) (Shotgun) 9-J.Burrow pass short middle to 83-T.Boyd for 4 yards, TOUCHDOWN NULLIFIED by Penalty. PENALTY on CIN-67-C.Volson, Offensive Holding, 10 yards, enforced at NYJ 4 - No Play.","Box Score"
"","-1.35","ATL","WAS","12","2022-11-27","2","10:39","1","10","(10:39) (Shotgun) 84-C.Patterson right end to WAS 19 for 13 yards (31-K.Curl, 52-J.Davis). PENALTY on ATL-85-M.Pruitt, Face Mask, 15 yards, enforced at WAS 32 - No Play.","Box Score"
