"Rank","Expected Points Added (EPA)","Offense","Defense","Week","Date","Quarter","Time","Down","Distance","Description","Box Scores"
"","0.59","GB","DET","18","2023-01-08","3","1:57","1","20","(1:57) (Shotgun) 12-A.Rodgers pass deep left intended for 33-A.Jones INTERCEPTED by 31-K.Joseph at GB 49. 31-K.Joseph pushed ob at GB 24 for 25 yards (89-M.Lewis). PENALTY on DET-79-J.Cominsky, Illegal Use of Hands, 5 yards, enforced at GB 16 - No Play.","Box Score"
"","0.59","NE","MIA","17","2023-01-01","2","5:38","4","12","(5:38) 17-M.Palardy punts 37 yards to MIA 24, Center-46-T.Addington. 11-C.Wilson to MIA 32 for 8 yards (21-A.Phillips). PENALTY on MIA-22-E.Campbell, Offensive Holding, 10 yards, enforced at MIA 24.","Box Score"
"","0.58","DEN","ARI","15","2022-12-18","4","12:58","3","1","(12:58) 28-L.Murray left guard to ARI 44 for 3 yards (52-V.Dimukeje). PENALTY on ARI, Defensive Too Many Men on Field, 5 yards, enforced at ARI 47 - No Play.","Box Score"
"","0.57","DEN","KC","17","2023-01-01","3","7:09","2","5","(7:09) PENALTY on KC-95-C.Jones, Neutral Zone Infraction, 4 yards, enforced at KC 29 - No Play.","Box Score"
"","0.57","NYJ","SEA","17","2023-01-01","2","14:15","1","10","(14:15) (Run formation) PENALTY on SEA, Defensive Too Many Men on Field, 5 yards, enforced at NYJ 25 - No Play.","Box Score"
"","0.56","MIA","NYJ","18","2023-01-08","2","10:13","2","11","(10:13) PENALTY on NYJ-97-N.Shepherd, Neutral Zone Infraction, 5 yards, enforced at MIA 44 - No Play.","Box Score"
"","0.56","MIA","NE","17","2023-01-01","4","1:16","1","8","(1:16) (Shotgun) 19-S.Thompson pass incomplete short right to 88-M.Gesicki [9-M.Judon]. PENALTY on NE-39-T.Hayes, Defensive Holding, 4 yards, enforced at NE 8 - No Play.","Box Score"
"","0.56","LV","KC","18","2023-01-07","2","0:42","1","10","(:42) (Shotgun) 3-J.Stidham pass incomplete short middle to 17-D.Adams. PENALTY on KC-38-L.Sneed, Defensive Pass Interference, 8 yards, enforced at LV 47 - No Play.","Box Score"
"","0.56","CAR","NO","18","2023-01-08","2","3:16","1","10","(3:16) 14-S.Darnold pass incomplete short left to 2-D.Moore. PENALTY on NO-96-C.Granderson, Defensive Offside, 5 yards, enforced at CAR 47 - No Play.","Box Score"
"","0.56","KC","LV","18","2023-01-07","2","4:06","1","10","(4:06) (Shotgun) 10-I.Pacheco right guard to KC 43 for 6 yards (98-M.Crosby). PENALTY on LV-98-M.Crosby, Defensive Offside, 5 yards, enforced at KC 37 - No Play.","Box Score"
"","0.55","CIN","NE","16","2022-12-24","2","8:27","1","10","(8:27) 74-M.Scharping reported in as eligible.  28-J.Mixon left guard to NE 45 for 4 yards (9-M.Judon). PENALTY on NE-98-Ca.Davis, Defensive Holding, 5 yards, enforced at NE 45.","Box Score"
"","0.55","ATL","ARI","17","2023-01-01","4","3:53","1","10","(3:53) (No Huddle) PENALTY on ARI-99-J.Watt, Neutral Zone Infraction, 5 yards, enforced at ARI 46 - No Play.","Box Score"
"","0.54","ATL","NO","15","2022-12-18","3","14:17","1","10","(14:17) PENALTY on NO-99-S.Tuttle, Neutral Zone Infraction, 5 yards, enforced at ATL 36 - No Play.","Box Score"
"","0.53","KC","LV","18","2023-01-07","1","12:58","3","4","(12:58) (Shotgun) PENALTY on LV, Defensive Too Many Men on Field, 2 yards, enforced at LV 4 - No Play.","Box Score"
"","0.53","CIN","BAL","18","2023-01-08","3","7:57","2","8","(7:57) (Shotgun) 9-J.Burrow pass incomplete short middle to 88-H.Hurst. PENALTY on BAL-6-P.Queen, Defensive Pass Interference, 2 yards, enforced at BAL 18 - No Play.","Box Score"
"","0.53","DEN","LAC","18","2023-01-08","1","5:01","1","8","(5:01) (Shotgun) 3-R.Wilson pass short middle to 19-C.Edmonds to LAC 10 for -2 yards (9-K.Murray, 97-J.Bosa). PENALTY on LAC-97-J.Bosa, Face Mask, 4 yards, enforced at LAC 8 - No Play.","Box Score"
"","0.53","NYG","MIN","16","2022-12-24","3","15:00","1","10","(15:00) (Shotgun) 26-S.Barkley right guard to NYG 28 for 3 yards (58-J.Hicks). PENALTY on MIN-97-H.Phillips, Defensive Holding, 5 yards, enforced at NYG 28.","Box Score"
"","0.52","MIA","BUF","15","2022-12-17","1","13:18","4","11","(13:18) 4-T.Morstead punts 38 yards to BUF 14, Center-44-B.Ferguson. 20-N.Hines to BUF 19 for 5 yards (52-E.Roberts). Return credited to BUF 14 (penalty during kick). PENALTY on BUF-25-T.Jones, Offensive Holding, 7 yards, enforced at BUF 14. Penalty on BUF-33-S.Neal, Offensive Holding, declined.","Box Score"
"","0.52","SF","ARI","18","2023-01-08","2","3:51","1","10","(3:51) 23-C.McCaffrey left tackle to ARI 38 for 6 yards (9-I.Simmons, 44-M.Golden). PENALTY on ARI-44-M.Golden, Defensive Offside, 5 yards, enforced at ARI 44 - No Play.","Box Score"
"","0.52","WAS","NYG","15","2022-12-18","1","7:43","1","10","(7:43) (Shotgun) PENALTY on NYG-5-K.Thibodeaux, Neutral Zone Infraction, 5 yards, enforced at WAS 30 - No Play.","Box Score"
