"Rank","Expected Points Added (EPA)","Offense","Defense","Week","Date","Quarter","Time","Down","Distance","Description","Box Scores"
"","0.85","BUF","NE","16","2021-12-26","2","2:15","4","7","(2:15) (Shotgun) PENALTY on NE-90-C.Barmore, Encroachment, 5 yards, enforced at NE 39 - No Play.","Box Score"
"","0.85","WAS","LV","13","2021-12-05","3","8:27","4","15","(8:27) 5-T.Way punts 53 yards to LV 18, Center-54-C.Cheeseman, out of bounds. PENALTY on LV-33-R.Teamer, Offensive Holding, 9 yards, enforced at LV 18.","Box Score"
"","0.83","KC","DEN","13","2021-12-05","2","12:28","4","6","(12:28) 5-T.Townsend punts 54 yards to DEN 5, Center-41-J.Winchester. 11-D.Spencer to DEN 19 for 14 yards (31-Da.Williams). PENALTY on DEN-94-A.Patrick, Offensive Holding, 2 yards, enforced at DEN 5.","Box Score"
"","0.81","PIT","MIN","14","2021-12-09","2","13:11","4","16","(13:11) 6-P.Harvin punts 49 yards to MIN 32, Center-46-C.Kuntz. 12-D.Westbrook ran ob at MIN 44 for 12 yards (45-B.Johnson). PENALTY on MIN-44-J.Metellus, Offensive Holding, 10 yards, enforced at MIN 32.","Box Score"
"","0.80","CAR","MIN","6","2021-10-17","1","0:22","4","15","(:22) 10-R.Winslow punts 41 yards to MIN 26, Center-44-J.Jansen. 12-D.Westbrook to MIN 30 for 4 yards (34-S.Chandler, 23-S.Thomas-Oliver). FUMBLES (34-S.Chandler), touched at MIN 28, recovered by MIN-29-K.Boyd at MIN 25. PENALTY on MIN-29-K.Boyd, Offensive Holding, 10 yards, enforced at MIN 25.","Box Score"
"","0.80","CIN","DEN","15","2021-12-19","4","6:59","4","4","(6:59) 10-K.Huber punts 56 yards to DEN 10, Center-46-C.Harris. 11-D.Spencer to DEN 22 for 12 yards (34-S.Perine). PENALTY on DEN-37-P.Locke, Illegal Block Above the Waist, 5 yards, enforced at DEN 10. Penalty on DEN-40-J.Strnad, Offensive Holding, declined.","Box Score"
"","0.80","JAX","ARI","3","2021-09-26","1","13:38","4","3","(13:38) 9-L.Cooke punts 51 yards to ARI 17, Center-46-R.Matiscik. 4-R.Moore MUFFS catch, touched at ARI 20, recovered by ARI-33-A.Hamilton at ARI 17. PENALTY on ARI-22-D.Thompson, Illegal Block Above the Waist, 8 yards, enforced at ARI 17.","Box Score"
"","0.78","GB","LA","12","2021-11-28","2","0:40","4","4","(:40) 7-C.Bojorquez punts 58 yards to LA 5, Center-46-S.Wirtel. 17-J.Koski to LA 12 for 7 yards (19-E.St. Brown). PENALTY on LA-38-B.Howell, Defensive Offside, 5 yards, enforced at GB 37 - No Play.","Box Score"
"","0.77","HOU","MIA","9","2021-11-07","3","10:32","4","12","(10:32) 11-C.Johnston punts 48 yards to MIA 10, Center-46-J.Weeks. 8-J.Holland ran ob at MIA 28 for 18 yards (43-N.Hewitt). PENALTY on MIA-42-C.Fejedelem, Offensive Holding, 8 yards, enforced at MIA 16. Penalty on MIA-22-E.Campbell, Illegal Blindside Block, declined.","Box Score"
"","0.75","DAL","LV","12","2021-11-25","5","8:50","4","4","(8:50) 5-B.Anger punts 59 yards to LV 28, Center-44-J.McQuaide. 13-H.Renfrow pushed ob at LV 35 for 7 yards (20-T.Pollard). PENALTY on LV-21-A.Robertson, Illegal Block Above the Waist, 10 yards, enforced at LV 32.","Box Score"
"","0.72","PHI","ATL","1","2021-09-12","4","7:14","4","8","(7:14) 8-A.Siposs punts 54 yards to ATL 24, Center-45-R.Lovato. 35-A.Williams to ATL 31 for 7 yards (19-J.Arcega-Whiteside; 57-T.Edwards). PENALTY on ATL-32-J.Hawkins, Illegal Block Above the Waist, 10 yards, enforced at ATL 28.","Box Score"
"","0.72","CIN","PIT","3","2021-09-26","3","2:26","4","4","(2:26) 10-K.Huber punts 54 yards to PIT 8, Center-46-C.Harris, downed by CIN-57-G.Pratt. PENALTY on PIT-31-J.Layne, Offensive Holding, 4 yards, enforced at PIT 8.","Box Score"
"","0.72","MIA","NE","1","2021-09-12","3","1:27","4","15","(1:27) 5-M.Palardy punts 51 yards to NE 29, Center-44-B.Ferguson. 80-G.Olszewski to NE 43 for 14 yards (33-J.Perry, 86-M.Hollins). PENALTY on NE-9-M.Judon, Unnecessary Roughness, 15 yards, enforced at NE 43.","Box Score"
"","0.71","PIT","CLE","8","2021-10-31","3","14:04","4","5","(14:04) 6-P.Harvin punts 44 yards to CLE 24, Center-46-C.Kuntz. 25-D.Felton to CLE 24 for no gain (41-R.Spillane). PENALTY on CLE-23-T.Hill, Illegal Block Above the Waist, 10 yards, enforced at CLE 24.","Box Score"
