"Rank","Week","Offense","Defense","Week","Date","Quarter","Time","Down","Distance","Description","Box Scores"
"","14.00","NO","CAR","14","2023-12-10","3","12:57","4","1","(12:57) (Run formation) PENALTY on CAR-99-S.Tuttle, Encroachment, 5 yards, enforced at NO 43 - No Play.","Box Score"
"","14.00","SEA","SF","14","2023-12-10","4","5:25","4","4","(5:25) (Shotgun) 2-D.Lock pass short left intended for 14-D.Metcalf INTERCEPTED by 2-D.Lenoir at SF 40. 2-D.Lenoir to SF 40 for no gain (14-D.Metcalf). PENALTY on SF-97-N.Bosa, Defensive Offside, 5 yards, enforced at 50 - No Play.","Box Score"
"","14.00","SEA","SF","14","2023-12-10","2","5:23","4","2","(5:23) (Run formation) PENALTY on SEA, Delay of Game, 5 yards, enforced at SF 47 - No Play.","Box Score"
"","14.00","SEA","SF","14","2023-12-10","1","1:13","4","12","(1:13) (Field Goal formation) PENALTY on SEA-78-S.Forsythe, False Start, 5 yards, enforced at SF 16 - No Play.","Box Score"
"","14.00","CLE","JAX","14","2023-12-10","4","6:08","4","6","(6:08) (Punt formation) PENALTY on JAX-96-A.Gotsis, Encroachment, 5 yards, enforced at CLE 47 - No Play.","Box Score"
"","14.00","CIN","IND","14","2023-12-10","2","12:39","4","9","(12:39) 2-E.McPherson 33 yard field goal is GOOD, NULLIFIED by Penalty, Center-48-C.Adomitis, Holder-10-B.Robbins. PENALTY on IND-96-T.Bryan, Leverage, 8 yards, enforced at IND 15 - No Play.","Box Score"
"","14.00","DET","CHI","14","2023-12-10","4","2:44","4","29","(2:44) (Shotgun) 16-J.Goff pass incomplete deep left to 14-A.St. Brown (29-T.Stevenson). PENALTY on CHI-94-R.Green, Defensive Offside, 5 yards, enforced at DET 33 - No Play.","Box Score"
"","14.00","LAC","DEN","14","2023-12-10","4","1:52","4","17","(1:52) (Shotgun) PENALTY on LAC, Delay of Game, 5 yards, enforced at LAC 44 - No Play.","Box Score"
"","14.00","DEN","LAC","14","2023-12-10","3","12:51","4","1","(12:51) (Shotgun) PENALTY on DEN, Delay of Game, 4 yards, enforced at DEN 34 - No Play.","Box Score"
"","14.00","MIA","TEN","14","2023-12-11","4","12:41","4","13","(12:41) 7-J.Sanders 31 yard field goal is GOOD, Center-44-B.Ferguson, Holder-16-J.Bailey. PENALTY on MIA-44-B.Ferguson, Unsportsmanlike Conduct, 15 yards, enforced between downs.","Box Score"
"","14.00","LA","BAL","14","2023-12-10","3","2:22","4","15","(2:22) (Punt formation) PENALTY on LA, Delay of Game, 5 yards, enforced at BAL 38 - No Play.","Box Score"
"","14.00","LA","BAL","14","2023-12-10","2","7:32","4","5","(7:32) 42-E.Evans punts 50 yards to BAL 20, Center-47-A.Ward. 13-D.Duvernay to BAL 35 for 15 yards (24-R.Freeman). LA-84-H.Long was injured during the play.  PENALTY on BAL-16-T.Wallace, Defensive Offside, 5 yards, enforced at LA 30 - No Play.","Box Score"
"","14.00","NYJ","HOU","14","2023-12-10","2","4:47","4","8","(4:47) (Punt formation) PENALTY on NYJ-52-S.Eguavoen, False Start, 5 yards, enforced at NYJ 47 - No Play.","Box Score"
"","14.00","DET","CHI","14","2023-12-10","2","14:12","4","10","(14:12) (Shotgun) 16-J.Goff pass deep right intended for 87-S.LaPorta INTERCEPTED by 33-J.Johnson at CHI 15. 33-J.Johnson to CHI 39 for 24 yards (14-A.St. Brown). FUMBLES (14-A.St. Brown), touched at CHI 40, ball out of bounds at 50. PENALTY on CHI-4-E.Jackson, Illegal Block Above the Waist, 10 yards, enforced at CHI 22.","Box Score"
"","14.00","PIT","NE","14","2023-12-07","4","5:06","4","3","(5:06) (Punt formation) PENALTY on PIT-46-C.Kuntz, False Start, 5 yards, enforced at PIT 38 - No Play.","Box Score"
"","14.00","CIN","IND","14","2023-12-10","2","0:24","4","5","(:24) (Punt formation) PENALTY on CIN-84-M.Wilcox, False Start, 5 yards, enforced at CIN 45 - No Play.","Box Score"
"","13.00","DAL","SEA","13","2023-11-30","2","1:40","4","3","(1:40) (Shotgun) 4-D.Prescott scrambles right end for 3 yards, TOUCHDOWN NULLIFIED by Penalty. PENALTY on DAL-78-T.Steele, Offensive Holding, 10 yards, enforced at SEA 3 - No Play.","Box Score"
"","13.00","LAC","NE","13","2023-12-03","3","3:31","4","12","(3:31) (Punt formation) PENALTY on LAC, Delay of Game, 5 yards, enforced at NE 36 - No Play.","Box Score"
"","13.00","HOU","DEN","13","2023-12-03","2","7:02","4","7","(7:02) 11-C.Johnston punts 58 yards to DEN 7, Center-46-J.Weeks. 19-M.Mims to DEN 6 for -1 yards (37-D.Ross). PENALTY on HOU-47-A.Beck, Face Mask, 15 yards, enforced at HOU 35 - No Play.","Box Score"
"","13.00","HOU","DEN","13","2023-12-03","1","3:56","4","2","(3:56) (Shotgun) PENALTY on DEN-49-A.Singleton, Unnecessary Roughness, 4 yards, enforced at DEN 7 - No Play. Penalty on HOU-78-L.Tunsil, False Start, superseded.","Box Score"
"","13.00","DAL","SEA","13","2023-11-30","2","1:33","4","13","(1:33) 17-B.Aubrey 31 yard field goal is GOOD, Center-44-T.Sieg, Holder-5-B.Anger. PENALTY on SEA-93-Ca.Young, Unnecessary Roughness, 15 yards, enforced between downs.","Box Score"
"","13.00","CLE","LA","13","2023-12-03","1","2:19","4","14","(2:19) (Punt formation) PENALTY on LA-59-T.Reeder, Encroachment, 5 yards, enforced at CLE 44 - No Play.","Box Score"
"","13.00","DET","NO","13","2023-12-03","3","0:07","4","4","(:07) (Run formation) PENALTY on DET, Delay of Game, 5 yards, enforced at NO 8 - No Play.","Box Score"
"","13.00","HOU","DEN","13","2023-12-03","2","7:14","4","2","(7:14) 11-C.Johnston punts 46 yards to DEN 14, Center-46-J.Weeks. 19-M.Mims to DEN 20 for 6 yards (46-J.Weeks). PENALTY on HOU-39-H.To'oTo'o, Illegal Formation, 5 yards, enforced at HOU 40 - No Play.","Box Score"
"","13.00","SEA","DAL","13","2023-11-30","1","1:01","4","5","(1:01) (Field Goal formation) PENALTY on SEA, Delay of Game, 6 yards, enforced at DAL 18 - No Play.","Box Score"
"","12.00","JAX","HOU","12","2023-11-26","4","11:38","4","1","(11:38) 16-T.Lawrence up the middle to HOU 28 for 2 yards (42-C.Littleton). PENALTY on JAX, Illegal Formation, 5 yards, enforced at HOU 30 - No Play.","Box Score"
"","12.00","NE","NYG","12","2023-11-26","4","0:06","4","5","(:06) 37-C.Ryland 35 yard field goal is No Good, Wide Left, Center-49-J.Cardona, Holder-17-B.Baringer. PENALTY on NYG-29-X.McKinney, Unsportsmanlike Conduct, 12 yards, enforced between downs.","Box Score"
"","12.00","ARI","LA","12","2023-11-26","4","6:29","4","3","(6:29) (No Huddle, Shotgun) 1-K.Murray pass incomplete deep left to 4-R.Moore. PENALTY on LA-2-R.Yeast, Defensive Holding, 5 yards, enforced at LA 25 - No Play.","Box Score"
